date,stress_score,stress_level
2017-01-01,0.21886980595764205,LOW
2017-01-08,0.21924574580726608,LOW
2017-01-15,0.21866095048562864,LOW
2017-01-22,0.21750702400275482,LOW
2017-01-29,0.21647318941628862,LOW
2017-02-05,0.2143898560829553,LOW
2017-02-12,0.21258847763684002,LOW
2017-02-19,0.21138233728596284,LOW
2017-02-26,0.21086541999272979,LOW
2017-03-05,0.21142932976716583,LOW
2017-03-12,0.21302707412806812,LOW
2017-03-19,0.2156273247546345,LOW
2017-03-26,0.218384216985211,LOW
2017-04-02,0.22090614680977236,LOW
2017-04-09,0.2231147934263137,LOW
2017-04-16,0.224728201947617,LOW
2017-04-23,0.22527644756165208,LOW
2017-04-30,0.22645125959172727,LOW
2017-05-07,0.22761040746140146,LOW
2017-05-14,0.2297877257571408,LOW
2017-05-21,0.23384474330100044,LOW
2017-05-28,0.23758847763684005,LOW
2017-06-04,0.24277331472957187,LOW
2017-06-11,0.24698697387744153,LOW
2017-06-18,0.24968120946641395,LOW
2017-06-25,0.2553046430503738,LOW
2017-07-02,0.25704336485488516,LOW
2017-07-09,0.25690238741127613,LOW
2017-07-16,0.256103515230825,LOW
2017-07-23,0.25185852776215334,LOW
2017-07-30,0.2486003823987448,LOW
2017-08-06,0.24734724956666462,LOW
2017-08-13,0.24632907914059943,LOW
2017-08-20,0.24653271322581247,LOW
2017-08-27,0.24979085858922098,LOW
2017-09-03,0.2529863473110255,LOW
2017-09-10,0.2579518861581433,LOW
2017-09-17,0.26324637237368215,LOW
2017-09-24,0.2677889788899729,LOW
2017-10-01,0.27417995633358194,LOW
2017-10-08,0.2776104074614014,LOW
2017-10-15,0.27833095883984754,LOW
2017-10-22,0.27772005658420845,LOW
2017-10-29,0.2756837157320781,LOW
2017-11-05,0.274759530268419,LOW
2017-11-12,0.2780490039526295,LOW
2017-11-19,0.2826386029501233,LOW
2017-11-26,0.2856931142283187,LOW
2017-12-03,0.28664862801277985,LOW
2017-12-10,0.28423634731102554,LOW
2017-12-17,0.287228201947617,LOW
2017-12-24,0.2926480014463639,LOW
2017-12-31,0.30182719944135133,LOW
2018-01-07,0.3106147934263137,LOW
2018-01-14,0.3130897307696721,LOW
2018-01-21,0.312134216985211,LOW
2018-01-28,0.3043178009451107,LOW
2018-02-04,0.29756654781227865,LOW
2018-02-11,0.2905020114714265,LOW
2018-02-18,0.2853954951806997,LOW
2018-02-25,0.2866016355315769,LOW
2018-03-04,0.2886066480629052,LOW
2018-03-11,0.2915358460578927,LOW
2018-03-18,0.29527958039373225,LOW
2018-03-25,0.2989606580879679,LOW
2018-04-01,0.3021091543285694,LOW
2018-04-08,0.3044274500679177,LOW
2018-04-15,0.3055082771355869,LOW
2018-04-22,0.3053359713711759,LOW
2018-04-29,0.305852888664409,LOW
2018-05-06,0.30654211172205315,LOW
2018-05-13,0.3080302069601484,LOW
2018-05-20,0.31160163553157694,LOW
2018-05-27,0.3147657959325794,LOW
2018-06-03,0.3211724375365894,LOW
2018-06-10,0.32745376585739144,LOW
2018-06-17,0.3331398560829553,LOW
2018-06-24,0.3399537658573914,LOW
2018-07-01,0.3414575252558877,LOW
2018-07-08,0.34017306410300546,LOW
2018-07-15,0.3352545177370907,LOW
2018-07-22,0.3269681768849604,LOW
2018-07-29,0.3197626631004992,LOW
2018-08-05,0.31368496886491026,LOW
2018-08-12,0.3090013849050105,LOW
2018-08-19,0.30560226209799296,LOW
2018-08-26,0.30314298891503555,LOW
2018-09-02,0.30167055783734126,LOW
2018-09-09,0.3007620365340831,LOW
2018-09-16,0.2992739412959879,LOW
2018-09-23,0.29777018189749166,LOW
2018-09-30,0.29504461798771725,LOW
2018-10-07,0.2909562721230556,LOW
2018-10-14,0.2866329638523789,LOW
2018-10-21,0.281134843551627,LOW
2018-10-28,0.2780646681130305,LOW
2018-11-04,0.2772031392909754,LOW
2018-11-11,0.2784092796418526,LOW
2018-11-18,0.28193371573207815,LOW
2018-11-25,0.2840013849050105,LOW
2018-12-02,0.2845652946794466,LOW
2018-12-09,0.2834374751305744,LOW
2018-12-16,0.2839230641030055,LOW
2018-12-23,0.2881680515716772,LOW
2018-12-30,0.2916924876619027,LOW
2019-01-06,0.2914105327746847,LOW
2019-01-13,0.2917812512375084,LOW
2019-01-20,0.2861630390403489,LOW
2019-01-27,0.27714048264937136,LOW
2019-02-03,0.26819895343366185,LOW
2019-02-10,0.26819895343366185,LOW
2019-02-17,0.26819895343366185,LOW
2019-02-24,0.26819895343366185,LOW
2019-03-03,0.2618205920633951,LOW
2019-03-10,0.2618205920633951,LOW
2019-03-17,0.2618205920633951,LOW
2019-03-24,0.2618205920633951,LOW
2019-03-31,,LOW
2019-04-07,0.24989651649489275,LOW
2019-04-14,0.24989651649489275,LOW
2019-04-21,0.24989651649489275,LOW
2019-04-28,0.24989651649489275,LOW
2019-05-05,0.2536471944550636,LOW
2019-05-12,0.2536471944550636,LOW
2019-05-19,0.2536471944550636,LOW
2019-05-26,0.2536471944550636,LOW
2019-06-02,0.2785366022021802,LOW
2019-06-09,0.2785366022021802,LOW
2019-06-16,0.2785366022021802,LOW
2019-06-23,0.2785366022021802,LOW
2019-06-30,,LOW
2019-07-07,0.24634669790391275,LOW
2019-07-14,0.24634669790391275,LOW
2019-07-21,0.24634669790391275,LOW
2019-07-28,0.24634669790391275,LOW
2019-08-04,0.21733451321006642,LOW
2019-08-11,0.21733451321006642,LOW
2019-08-18,0.21733451321006642,LOW
2019-08-25,0.21733451321006642,LOW
2019-09-01,0.2538280293958187,LOW
2019-09-08,0.2538280293958187,LOW
2019-09-15,0.2538280293958187,LOW
2019-09-22,0.2538280293958187,LOW
2019-09-29,,LOW
2019-10-06,0.2529007958451007,LOW
2019-10-13,0.2529007958451007,LOW
2019-10-20,0.2529007958451007,LOW
2019-10-27,0.2529007958451007,LOW
2019-11-03,0.249066452679158,LOW
2019-11-10,0.249066452679158,LOW
2019-11-17,0.249066452679158,LOW
2019-11-24,0.249066452679158,LOW
2019-12-01,0.27535536977993774,LOW
2019-12-08,0.27535536977993774,LOW
2019-12-15,0.27535536977993774,LOW
2019-12-22,0.27535536977993774,LOW
2019-12-29,,LOW
2020-01-05,0.28440810633336316,LOW
2020-01-12,0.28440810633336316,LOW
2020-01-19,0.28440810633336316,LOW
2020-01-26,0.28440810633336316,LOW
2020-02-02,0.2634354904568482,LOW
2020-02-09,0.2634354904568482,LOW
2020-02-16,0.2634354904568482,LOW
2020-02-23,0.2634354904568482,LOW
2020-03-01,0.2950425403678386,LOW
2020-03-08,0.2950425403678386,LOW
2020-03-15,0.2950425403678386,LOW
2020-03-22,0.2950425403678386,LOW
2020-03-29,,LOW
2020-04-05,0.4246697142143222,MEDIUM
2020-04-12,0.4246697142143222,MEDIUM
2020-04-19,0.4246697142143222,MEDIUM
2020-04-26,0.4246697142143222,MEDIUM
2020-05-03,0.32360936263729934,LOW
2020-05-10,0.32360936263729934,LOW
2020-05-17,0.32360936263729934,LOW
2020-05-24,0.32360936263729934,LOW
2020-05-31,,LOW
2020-06-07,0.28282374348470585,LOW
2020-06-14,0.28282374348470585,LOW
2020-06-21,0.28282374348470585,LOW
2020-06-28,0.28282374348470585,LOW
2020-07-05,0.26620028311038435,LOW
2020-07-12,0.26620028311038435,LOW
2020-07-19,0.26620028311038435,LOW
2020-07-26,0.26620028311038435,LOW
2020-08-02,0.30316101773490367,LOW
2020-08-09,0.30316101773490367,LOW
2020-08-16,0.30316101773490367,LOW
2020-08-23,0.30316101773490367,LOW
2020-08-30,,LOW
2020-09-06,0.331246720648383,LOW
2020-09-13,0.331246720648383,LOW
2020-09-20,0.331246720648383,LOW
2020-09-27,0.331246720648383,LOW
2020-10-04,0.329708735196096,LOW
2020-10-11,0.329708735196096,LOW
2020-10-18,0.329708735196096,LOW
2020-10-25,0.329708735196096,LOW
2020-11-01,0.3309496483428371,LOW
2020-11-08,0.3309496483428371,LOW
2020-11-15,0.3309496483428371,LOW
2020-11-22,0.3309496483428371,LOW
2020-11-29,,LOW
2020-12-06,0.31057278996653,LOW
2020-12-13,0.31057278996653,LOW
2020-12-20,0.31057278996653,LOW
2020-12-27,0.31057278996653,LOW
2021-01-03,0.30311535110322857,LOW
2021-01-10,0.30311535110322857,LOW
2021-01-17,0.30311535110322857,LOW
2021-01-24,0.30311535110322857,LOW
2021-01-31,,LOW
2021-02-07,0.3344068624951463,LOW
2021-02-14,0.3344068624951463,LOW
2021-02-21,0.3344068624951463,LOW
2021-02-28,0.3344068624951463,LOW
2021-03-07,0.3593051411324028,LOW
2021-03-14,0.3593051411324028,LOW
2021-03-21,0.3593051411324028,LOW
2021-03-28,0.3593051411324028,LOW
2021-04-04,0.3528853230444255,LOW
2021-04-11,0.3528853230444255,LOW
2021-04-18,0.3528853230444255,LOW
2021-04-25,0.3528853230444255,LOW
2021-05-02,0.38373960480029856,LOW
2021-05-09,0.38373960480029856,LOW
2021-05-16,0.38373960480029856,LOW
2021-05-23,0.38373960480029856,LOW
2021-05-30,,LOW
2021-06-06,0.39991492803421225,LOW
2021-06-13,0.39991492803421225,LOW
2021-06-20,0.39991492803421225,LOW
2021-06-27,0.39991492803421225,LOW
